Product ID,Product Name,Product Category,Unit Price
OF_01,"Eldon Base for stackable storage shelf, platinum",Office Supplies,38.94
OF_02,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,208.16
OF_03,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Office Supplies,8.69
TE_01,R380,Technology,195.99
OF_04,Holmes HEPA Air Purifier,Office Supplies,21.78
FU_01,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,6.64
OF_05,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,7.3
OF_06,"SAFCO Mobile Desk Side File, Wire Frame",Office Supplies,42.76
OF_07,"SAFCO Commercial Wire Shelving, Black",Office Supplies,138.14
OF_08,Xerox 198,Office Supplies,4.98
OF_09,Xerox 1980,Office Supplies,4.28
OF_10,Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,3.95
TE_02,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Technology,47.98
OF_11,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Office Supplies,5.28
FU_02,Ultra Commercial Grade Dual Valve Door Closer,Furniture,39.89
OF_12,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,15.74
FU_03,Hon 4-Shelf Metal Bookcases,Furniture,100.98
FU_04,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,71.37
TE_03,g520,Technology,65.99
TE_04,LX 788,Technology,155.99
OF_13,Avery 52,Office Supplies,3.69
OF_14,Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,4.71
OF_15,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Office Supplies,15.99
TE_05,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Technology,4.89
OF_16,Newell 335,Office Supplies,2.88
OF_17,SANFORD Liquid Accent Tank-Style Highlighters,Office Supplies,2.84
TE_06,Canon PC940 Copier,Technology,449.99
OF_18,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,13.48
OF_19,Col-Erase® Pencils with Erasers,Office Supplies,6.08
TE_07,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Technology,5.98
OF_20,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,40.99
OF_21,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,7.31
TE_08,Accessory37,Technology,20.99
TE_09,Fuji 5.2GB DVD-RAM,Technology,40.96
FU_05,Bevis Steel Folding Chairs,Furniture,95.95
OF_22,Avery Binder Labels,Office Supplies,3.89
FU_06,Hon Every-Day® Chair Series Swivel Task Chairs,Furniture,120.98
OF_23,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Office Supplies,30.98
FU_07,Global Troy Executive Leather Low-Back Tilter,Furniture,500.98
OF_24,XtraLife® ClearVue Slant-D® Ring Binders by Cardinal,Office Supplies,7.84
OF_25,Computer Printout Paper with Letter-Trim Perforations,Office Supplies,18.97
TE_10,6160,Technology,115.99
OF_26,Avery 49,Office Supplies,2.88
OF_27,Hoover Portapower Portable Vacuum,Office Supplies,4.48
TE_11,Timeport L7089,Technology,125.99
OF_28,Avery 510,Office Supplies,3.75
OF_29,Xerox 1881,Office Supplies,12.28
TE_12,"Memorex 4.7GB DVD-RAM, 3/Pack",Technology,31.78
OF_30,Unpadded Memo Slips,Office Supplies,3.98
OF_31,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,5.88
FU_08,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,9.65
TE_13,Bell Sonecor JB700 Caller ID,Technology,7.99
OF_32,Avery Arch Ring Binders,Office Supplies,58.1
OF_33,APC 7 Outlet Network SurgeArrest Surge Protector,Office Supplies,80.48
FU_09,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,92.23
TE_14,Accessory4,Technology,85.99
OF_34,Personal Creations Ink Jet Cards and Labels,Office Supplies,11.48
OF_35,High Speed Automatic Electric Letter Opener,Office Supplies,1637.53
OF_36,Xerox 1966,Office Supplies,6.48
OF_37,Xerox 213,Office Supplies,6.48
OF_38,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,28.15
OF_39,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Office Supplies,4.98
OF_40,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,6.35
OF_41,Crate-A-Files,Office Supplies,10.9
TE_15,"80 Minute CD-R Spindle, 100/Pack - Staples",Technology,39.48
FU_10,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,100.98
FU_11,12-1/2 Diameter Round Wall Clock,Furniture,19.98
FU_12,SAFCO Arco Folding Chair,Furniture,276.2
OF_42,"#10 White Business Envelopes,4 1/8 x 9 1/2",Office Supplies,15.67
OF_43,3M Office Air Cleaner,Office Supplies,25.98
FU_13,"Global Leather and Oak Executive Chair, Black",Furniture,300.98
OF_44,Xerox 1936,Office Supplies,19.98
OF_45,Xerox 214,Office Supplies,6.48
OF_46,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,80.98
OF_47,Staples® General Use 3-Ring Binders,Office Supplies,1.88
OF_48,Xerox 1904,Office Supplies,6.48
FU_14,Luxo Professional Combination Clamp-On Lamps,Furniture,102.3
OF_49,Xerox 217,Office Supplies,6.48
OF_50,Revere Boxed Rubber Bands by Revere,Office Supplies,1.89
OF_51,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Office Supplies,62.05
OF_52,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Office Supplies,279.48
FU_15,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,320.98
OF_53,Xerox 1887,Office Supplies,18.97
OF_54,Xerox 1891,Office Supplies,48.91
OF_55,Avery 506,Office Supplies,4.13
FU_16,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,140.98
FU_17,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,218.08
TE_16,Microsoft Natural Multimedia Keyboard,Technology,50.98
OF_56,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Office Supplies,10.14
FU_18,Bevis Boat-Shaped Conference Table,Furniture,262.11
FU_19,"Linden® 12"" Wall Clock With Oak Frame",Furniture,33.98
OF_57,Newell 326,Office Supplies,1.76
OF_58,Prismacolor Color Pencil Set,Office Supplies,19.84
OF_59,Xerox Blank Computer Paper,Office Supplies,19.98
TE_17,600 Series Flip,Technology,95.99
OF_60,Fellowes Recycled Storage Drawers,Office Supplies,111.03
OF_61,Satellite Sectional Post Binders,Office Supplies,43.41
FU_20,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,105.34
OF_62,Avery 487,Office Supplies,3.69
FU_21,Bevis Round Conference Table Top & Single Column Base,Furniture,146.34
OF_63,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,15.22
OF_64,Hanging Personal Folder File,Office Supplies,15.7
FU_22,"Bevis Round Conference Table Top, X-Base",Furniture,179.29
TE_18,5125,Technology,200.99
FU_23,Electrix Halogen Magnifier Lamp,Furniture,194.3
TE_19,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Technology,120.97
OF_65,Fellowes Black Plastic Comb Bindings,Office Supplies,5.81
TE_20,Polycom ViewStation Adapter H323 Videoconferencing Unit,Technology,1938.02
FU_24,Hon GuestStacker Chair,Furniture,226.67
FU_25,Eldon® Wave Desk Accessories,Furniture,2.08
TE_21,Sharp AL-1530CS Digital Copier,Technology,499.99
OF_66,"Tennsco Lockers, Gray",Office Supplies,20.98
OF_67,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Office Supplies,30.53
OF_68,Newell 323,Office Supplies,1.68
FU_26,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,270.98
OF_69,Spiral Phone Message Books with Labels by Adams,Office Supplies,4.48
OF_70,Holmes 99% HEPA Air Purifier,Office Supplies,21.66
OF_71,Xerox 224,Office Supplies,6.48
OF_72,Xerox 1906,Office Supplies,35.44
OF_73,Xerox 188,Office Supplies,11.34
OF_74,Xerox 1932,Office Supplies,35.44
OF_75,GBC Linen Binding Covers,Office Supplies,30.98
OF_76,GBC Recycled Grain Textured Covers,Office Supplies,34.54
FU_27,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,170.98
TE_22,"Fellowes Basic 104-Key Keyboard, Platinum",Technology,20.95
OF_77,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Office Supplies,207.48
FU_28,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,58.14
TE_23,Panasonic KX-P1150 Dot Matrix Printer,Technology,145.45
OF_78,Newell 327,Office Supplies,2.21
OF_79,Xerox 1893,Office Supplies,40.99
FU_29,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,243.98
FU_30,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Furniture,39.98
FU_31,"DAX Copper Panel Document Frame, 5 x 7 Size",Furniture,12.58
FU_32,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,48.58
FU_33,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Furniture,105.98
OF_80,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Office Supplies,7.04
TE_24,"Memorex Slim 80 Minute CD-R, 10/Pack",Technology,9.78
FU_34,Aluminum Document Frame,Furniture,12.22
TE_25,"Memorex 80 Minute CD-R Spindle, 100/Pack",Technology,43.98
OF_81,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,34.76
TE_26,Accessory36,Technology,55.99
OF_82,Xerox 20,Office Supplies,6.48
OF_83,Surelock Post Binders,Office Supplies,30.56
OF_84,Colorific® Watercolor Pencils,Office Supplies,5.16
OF_85,"*Staples* vLetter Openers, 2/Pack",Office Supplies,3.68
FU_35,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,355.98
FU_36,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,218.75
FU_37,Eldon Econocleat® Chair Mats for Low Pile Carpets,Furniture,41.47
OF_86,Prang Drawing Pencil Set,Office Supplies,2.78
TE_27,T39m,Technology,155.99
OF_87,Xerox 1982,Office Supplies,22.84
OF_88,Xerox 1924,Office Supplies,5.78
OF_89,Turquoise Lead Holder with Pocket Clip,Office Supplies,6.7
TE_28,Okidata ML395C Color Dot Matrix Printer,Technology,1360.14
TE_29,Microsoft Internet Keyboard,Technology,20.97
FU_38,Global Ergonomic Managers Chair,Furniture,180.98
FU_39,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,130.98
OF_90,Xerox 1971,Office Supplies,4.28
OF_91,Eldon Portable Mobile Manager,Office Supplies,28.28
TE_30,Accessory6,Technology,55.99
OF_92,Durable Pressboard Binders,Office Supplies,3.8
TE_31,Fellowes 17-key keypad for PS/2 interface,Technology,30.73
TE_32,StarTAC ST7762,Technology,125.99
TE_33,Accessory21,Technology,20.99
OF_93,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,1270.99
OF_94,Staples 6 Outlet Surge,Office Supplies,11.97
OF_95,Recycled Eldon Regeneration Jumbo File,Office Supplies,12.28
TE_34,Verbatim DVD-R 4.7GB authoring disc,Technology,39.24
TE_35,Canon P1-DHIII Palm Printing Calculator,Technology,17.98
OF_96,GBC Binding covers,Office Supplies,12.95
FU_40,"Global Stack Chair without Arms, Black",Furniture,25.98
OF_97,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Office Supplies,10.31
OF_98,GBC Recycled Regency Composition Covers,Office Supplies,59.78
TE_36,Accessory29,Technology,20.99
OF_99,SANFORD Major Accent Highlighters,Office Supplies,7.08
TE_37,Polycom ViaVideo Desktop Video Communications Unit,Technology,574.74
OF_100,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Office Supplies,36.55
TE_38,Accessory24,Technology,55.99
FU_41,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,51.75
OF_101,Recycled Steel Personal File for Standard File Folders,Office Supplies,55.29
TE_39,Accessory39,Technology,20.99
OF_102,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,7.64
OF_103,GBC Standard Plastic Binding Systems Combs,Office Supplies,8.85
OF_104,Xerox 1930,Office Supplies,6.48
OF_105,Avery 474,Office Supplies,2.88
FU_42,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,880.98
TE_40,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Technology,200.97
TE_41,"IBM 80 Minute CD-R Spindle, 50/Pack",Technology,20.89
OF_106,"Peel & Seel® Recycled Catalog Envelopes, Brown",Office Supplies,11.58
TE_42,TDK 4.7GB DVD+RW,Technology,14.48
TE_43,U.S. Robotics 56K Internet Call Modem,Technology,99.99
OF_107,Xerox 190,Office Supplies,4.98
OF_108,Standard Line While You Were Out Hardbound Telephone Message Book,Office Supplies,21.98
TE_44,CF 888,Technology,195.99
FU_43,Dana Halogen Swing-Arm Architect Lamp,Furniture,40.97
FU_44,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Furniture,349.45
TE_45,Lexmark Z25 Color Inkjet Printer,Technology,80.97
FU_45,Hon Multipurpose Stacking Arm Chairs,Furniture,216.6
FU_46,Hon Olson Stacker Stools,Furniture,140.81
FU_47,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,22.72
TE_46,Epson DFX5000+ Dot Matrix Printer,Technology,1500.97
OF_109,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,23.99
OF_110,GBC Standard Therm-A-Bind Covers,Office Supplies,24.92
OF_111,Xerox 1892,Office Supplies,38.76
OF_112,Staples Paper Clips,Office Supplies,2.47
FU_48,"Metal Folding Chairs, Beige, 4/Carton",Furniture,33.94
TE_47,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Technology,8.33
FU_49,Bush Mission Pointe Library,Furniture,150.98
OF_113,Xerox 1929,Office Supplies,22.84
OF_114,Home/Office Personal File Carts,Office Supplies,34.76
OF_115,Avery 507,Office Supplies,2.88
TE_48,i470,Technology,205.99
OF_116,3M Organizer Strips,Office Supplies,5.4
TE_49,"Imation 3.5 IBM Diskettes, 10/Box",Technology,8.46
FU_50,"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,14.98
TE_50,300 Series Non-Flip,Technology,155.99
FU_51,"Executive Impressions 13"" Chairman Wall Clock",Furniture,25.38
TE_51,Micro Innovations 104 Keyboard,Technology,10.97
TE_52,US Robotics 56K V.92 External Faxmodem,Technology,99.99
OF_117,Fellowes Staxonsteel® Drawer Files,Office Supplies,193.17
FU_52,Telescoping Adjustable Floor Lamp,Furniture,19.99
TE_53,Canon MP41DH Printing Calculator,Technology,150.98
OF_118,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Office Supplies,370.98
TE_54,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Technology,179.99
OF_119,"Memo Book, 100 Message Capacity, 5 3/8 x 11",Office Supplies,6.74
OF_120,Belkin 6 Outlet Metallic Surge Strip,Office Supplies,10.89
OF_121,Xerox 21,Office Supplies,6.48
OF_122,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,223.98
FU_53,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,140.98
OF_123,Xerox 1940,Office Supplies,54.96
OF_124,Bagged Rubber Bands,Office Supplies,1.26
OF_125,Xerox 1897,Office Supplies,4.98
OF_126,Poly Designer Cover & Back,Office Supplies,18.99
OF_127,Bionaire Personal Warm Mist Humidifier/Vaporizer,Office Supplies,46.89
OF_128,"Acme® 8"" Straight Scissors",Office Supplies,12.98
OF_129,Heavy-Duty E-Z-D® Binders,Office Supplies,10.91
OF_130,Deluxe Rollaway Locking File with Drawer,Office Supplies,415.88
TE_55,252,Technology,65.99
TE_56,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Technology,5.02
OF_131,Wilson Jones DublLock® D-Ring Binders,Office Supplies,6.75
OF_132,Binder Posts,Office Supplies,5.74
TE_57,Epson LQ-570e Dot Matrix Printer,Technology,270.97
FU_54,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,260.98
OF_133,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,387.99
FU_55,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,160.98
OF_134,Avery 481,Office Supplies,3.08
OF_135,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,41.94
TE_58,StarTAC Series,Technology,65.99
OF_136,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Office Supplies,7.64
FU_56,Global Comet Stacking Armless Chair,Furniture,299.05
FU_57,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,291.73
TE_59,"Fellowes Internet Keyboard, Platinum",Technology,30.42
FU_58,Luxo Economy Swing Arm Lamp,Furniture,19.94
OF_137,Acco Perma® 2700 Stacking Storage Drawers,Office Supplies,29.74
OF_138,Fellowes Stor/Drawer® Steel Plus Storage Drawers,Office Supplies,95.43
OF_139,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,300.65
TE_60,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Technology,45.19
OF_140,Lock-Up Easel 'Spel-Binder',Office Supplies,28.53
OF_141,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,5.68
OF_142,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,15.51
OF_143,Assorted Color Push Pins,Office Supplies,1.81
OF_144,HP Office Paper (20Lb. and 87 Bright),Office Supplies,6.68
OF_145,Staples Vinyl Coated Paper Clips,Office Supplies,3.93
OF_146,Newell 310,Office Supplies,1.76
OF_147,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,177.98
FU_59,"DAX Metal Frame, Desktop, Stepped-Edge",Furniture,20.24
TE_61,8860,Technology,65.99
OF_148,Array® Memo Cubes,Office Supplies,5.18
OF_149,"Fiskars 8"" Scissors, 2/Pack",Office Supplies,17.24
OF_150,12 Colored Short Pencils,Office Supplies,2.6
OF_151,Pizazz® Global Quick File,Office Supplies,14.97
TE_62,Imation 5.2GB DVD-RAM,Technology,60.98
OF_152,Portable Personal File Box,Office Supplies,12.21
OF_153,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Office Supplies,29.14
OF_154,Ibico Covers for Plastic or Wire Binding Elements,Office Supplies,11.5
OF_155,Tennsco Double-Tier Lockers,Office Supplies,225.02
OF_156,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,9.27
OF_157,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Office Supplies,6.84
TE_63,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Technology,4.98
TE_64,PC Concepts 116 Key Quantum 3000 Keyboard,Technology,32.98
TE_65,Epson Stylus 1520 Color Inkjet Printer,Technology,500.97
OF_158,Avery 494,Office Supplies,2.61
OF_159,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,5.34
OF_160,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Office Supplies,4.06
TE_66,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Technology,99.99
OF_161,Cardinal Poly Pocket Divider Pockets for Ring Binders,Office Supplies,3.36
TE_67,Canon PC1060 Personal Laser Copier,Technology,699.99
OF_162,Sterling Rubber Bands by Alliance,Office Supplies,4.71
OF_163,Newell 312,Office Supplies,5.84
TE_68,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Technology,15.98
OF_164,"Avery Flip-Chart Easel Binder, Black",Office Supplies,22.38
TE_69,R280,Technology,155.99
TE_70,Accessory9,Technology,35.99
OF_165,Tennsco Industrial Shelving,Office Supplies,48.91
OF_166,Staples Bulldog Clip,Office Supplies,3.78
TE_71,"Micro Innovations Micro 3000 Keyboard, Black",Technology,26.31
OF_167,Xerox 1882,Office Supplies,55.98
OF_168,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Office Supplies,13.9
FU_60,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Furniture,55.5
OF_169,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,5.28
FU_61,Hon 94000 Series Round Tables,Furniture,296.18
FU_62,"Global High-Back Leather Tilter, Burgundy",Furniture,122.99
FU_63,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Furniture,20.24
OF_170,Stockwell Push Pins,Office Supplies,2.18
TE_72,8260,Technology,65.99
TE_73,3390,Technology,65.99
FU_64,"Global Deluxe Stacking Chair, Gray",Furniture,50.98
FU_65,Bevis 36 x 72 Conference Tables,Furniture,124.49
FU_66,"Howard Miller 16"" Diameter Gallery Wall Clock",Furniture,63.94
OF_171,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Office Supplies,4.13
OF_172,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,7.1
OF_173,Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,21.38
TE_74,Accessory31,Technology,35.99
TE_75,Accessory8,Technology,85.99
OF_174,Fellowes Command Center 5-outlet power strip,Office Supplies,67.84
TE_76,Accessory12,Technology,85.99
FU_67,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,200.98
OF_175,GBC DocuBind TL300 Electric Binding System,Office Supplies,896.99
OF_176,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Office Supplies,15.01
TE_77,TDK 4.7GB DVD-R,Technology,10.01
OF_177,Xerox 1977,Office Supplies,6.68
FU_68,DAX Solid Wood Frames,Furniture,9.77
OF_178,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,Office Supplies,76.72
OF_179,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Office Supplies,59.98
OF_180,Multimedia Mailers,Office Supplies,162.93
OF_181,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Office Supplies,10.94
OF_182,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,40.98
OF_183,"DXL Angle-View Binders with Locking Rings, Black",Office Supplies,5.99
OF_184,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Office Supplies,4.57
OF_185,Laser & Ink Jet Business Envelopes,Office Supplies,10.67
TE_78,Okidata ML390 Turbo Dot Matrix Printers,Technology,442.14
FU_69,"Eldon Regeneration Recycled Desk Accessories, Smoke",Furniture,1.74
TE_79,2160i,Technology,200.99
FU_70,Global Deluxe High-Back Office Chair in Storm,Furniture,135.99
TE_80,Canon MP100DHII Printing Calculator,Technology,140.99
